,Loss
0,0.050096788
1,0.03998086
2,0.04401766
3,0.02950735
4,0.043630727
5,0.040964507
6,0.04221158
7,0.036433697
8,0.029578302
9,0.050454684
10,0.038410254
11,0.034670852
12,0.056554124
13,0.036603827
14,0.043864023
15,0.053381294
16,0.022232514
17,0.030749734
18,0.037182037
19,0.055475853
20,0.046368435
21,0.03011252
22,0.05014962
23,0.0535185
24,0.050268263
25,0.03535516
26,0.030725608
27,0.030169914
28,0.04211749
29,0.055499524
30,0.04288201
31,0.032942124
32,0.043480538
33,0.042799994
34,0.03401133
35,0.04072148
36,0.029988095
37,0.042377584
38,0.034670413
39,0.024894893
40,0.025839642
41,0.03279175
42,0.062213093
43,0.044839755
44,0.03475964
45,0.029768141
46,0.032947294
47,0.040749893
48,0.029033707
49,0.04608065
50,0.05708303
51,0.02714156
52,0.0413196
53,0.035473857
54,0.03978098
55,0.024036739
56,0.033453252
57,0.022507207
58,0.056483224
59,0.036345627
60,0.04633695
61,0.047152497
62,0.03728848
63,0.039434426
64,0.03886296
65,0.044780545
66,0.020906495
67,0.040066555
68,0.038372964
69,0.034889698
70,0.044856273
71,0.025781048
72,0.04007124
73,0.038007222
74,0.04274871
75,0.030424038
76,0.057442013
77,0.04213208
78,0.03475623
79,0.027200859
80,0.05044128
81,0.03005372
82,0.04697649
83,0.038731553
84,0.044030987
85,0.023973998
86,0.041160665
87,0.058655508
88,0.03533846
89,0.039186224
90,0.04472938
91,0.028956722
92,0.077369906
93,0.03879863
94,0.062124368
95,0.043304235
96,0.044973806
97,0.04188049
98,0.02654469
99,0.03610345
100,0.03138996
101,0.036935296
102,0.050941795
103,0.033544816
104,0.059662882
105,0.045401145
106,0.04331738
107,0.048386496
108,0.031085096
109,0.042995013
110,0.029338226
111,0.038323954
112,0.048089847
113,0.037273806
114,0.035188098
115,0.04201726
116,0.058023848
117,0.041126847
118,0.043245655
119,0.057363052
120,0.04732252
121,0.037295416
122,0.04298221
123,0.028004253
124,0.040100098
125,0.037901293
126,0.038269155
127,0.04031492
128,0.03366589
129,0.01864145
130,0.0332793
131,0.035529923
132,0.055218503
133,0.044291582
134,0.047187194
135,0.04059667
136,0.0396067
137,0.02359058
138,0.03182489
139,0.037558027
140,0.048083656
141,0.057180405
142,0.038272142
143,0.044221014
144,0.031787794
145,0.040966578
146,0.04304783
147,0.038763694
148,0.03171288
149,0.034360602
150,0.03431344
151,0.031216266
152,0.03414542
153,0.05430958
154,0.03158044
155,0.024933968
156,0.03163542
157,0.06516534
158,0.078485906
159,0.0587117
160,0.033024456
161,0.038361486
162,0.030606937
163,0.025609227
164,0.036895365
165,0.023202363
166,0.024198025
167,0.05569364
168,0.044934917
169,0.03399743
170,0.02856599
171,0.051536415
172,0.03148791
173,0.03416396
174,0.05414412
175,0.045839265
176,0.04689404
177,0.040839225
178,0.02359527
179,0.026482157
180,0.031272143
181,0.033279836
182,0.04777195
183,0.036439437
184,0.018546619
185,0.030056644
186,0.028045358
187,0.04502797
188,0.021180836
189,0.027144197
190,0.02275879
191,0.04151441
192,0.044002254
193,0.035259135
194,0.045958232
195,0.03952135
196,0.032167684
197,0.041187197
198,0.04160169
199,0.02157564
200,0.047788233
201,0.053639047
202,0.048544317
203,0.053873934
204,0.042200927
205,0.024802834
206,0.031021096
207,0.044093013
208,0.032266
209,0.035810955
210,0.03904906
211,0.049129575
212,0.040227965
213,0.041963458
214,0.039150883
215,0.033486955
216,0.059898466
217,0.041260548
218,0.04773794
219,0.04203514
220,0.039123908
221,0.035300486
222,0.04331488
223,0.032399062
224,0.037482947
225,0.032401945
226,0.04246733
227,0.028813368
228,0.038801346
229,0.035953775
230,0.04765719
231,0.05183001
232,0.05248369
233,0.038019016
234,0.04264208
235,0.031476013
236,0.018224359
237,0.043077007
238,0.032706264
239,0.04718095
240,0.030331189
241,0.027835388
242,0.032519408
243,0.03862071
244,0.041059405
245,0.03225598
246,0.04967439
247,0.03361395
248,0.029445414
249,0.023242386
250,0.046012715
251,0.03836467
252,0.04602181
253,0.042292982
254,0.0513268
255,0.03375431
256,0.040373627
257,0.035813473
258,0.038489096
259,0.037757605
260,0.042093877
261,0.052240357
262,0.027917031
263,0.03833452
264,0.05868569
265,0.04056876
266,0.054815684
267,0.040178232
268,0.039446987
269,0.03808891
270,0.032588474
271,0.025953066
272,0.06427053
273,0.027658444
274,0.024941124
275,0.031600088
276,0.05811831
277,0.053724278
