,Loss
0,0.71633714
1,0.71508956
2,0.7129988
3,0.71159804
4,0.71135277
5,0.71077824
6,0.709521
7,0.7097475
8,0.70877665
9,0.7078375
10,0.7081951
11,0.70716846
12,0.7071056
13,0.70671535
14,0.7062669
15,0.70570254
16,0.7050862
17,0.7052804
18,0.704265
19,0.70462626
20,0.70388716
21,0.7038144
22,0.7030543
23,0.70322937
24,0.70261925
25,0.70298004
26,0.7029192
27,0.70230615
28,0.7023404
29,0.70187277
30,0.7016808
31,0.7011578
32,0.7012273
33,0.700622
34,0.70101213
35,0.70113534
36,0.7011383
37,0.7007264
38,0.7005219
39,0.70037115
40,0.70040005
41,0.7001923
42,0.6998414
43,0.69982076
44,0.6994649
45,0.6999895
46,0.6995591
47,0.699489
48,0.6995451
49,0.6990993
