,Loss
0,0.58924216
1,0.4730409
2,0.40599608
3,0.35090953
4,0.30395064
5,0.2661202
6,0.23038998
7,0.20325862
8,0.17820215
9,0.15822643
10,0.14024165
11,0.13011472
12,0.11329512
13,0.10356336
14,0.09490408
15,0.08806918
16,0.07522913
17,0.06955555
18,0.06368265
19,0.05915905
20,0.054575894
21,0.05199547
22,0.050080407
23,0.04505128
24,0.041677095
25,0.038595308
26,0.03533512
27,0.030863645
28,0.029367564
29,0.02649066
30,0.026631355
31,0.028336598
32,0.03320274
33,0.02772879
34,0.022003254
35,0.017121889
36,0.01446167
37,0.013777707
38,0.016318068
39,0.04646362
40,0.03757876
41,0.016455924
42,0.009931743
43,0.00717116
44,0.0058580283
45,0.0055174856
46,0.006859315
47,0.071512185
48,0.05975245
49,0.020691562
