,Loss
0,0.58758414
1,0.47477233
2,0.41222826
3,0.3568757
4,0.31055537
5,0.26915458
6,0.2352548
7,0.20580393
8,0.18010065
9,0.16188005
10,0.1463129
11,0.12977171
12,0.113105096
13,0.10160091
14,0.09328024
15,0.08652786
16,0.07682989
17,0.069226146
18,0.06915336
19,0.061779298
20,0.055336073
21,0.05379952
22,0.048892792
23,0.044139024
24,0.03941121
25,0.03686758
26,0.03587618
27,0.035761595
28,0.033910163
29,0.031001486
30,0.028365534
31,0.02646138
32,0.024982834
33,0.02252906
34,0.020428143
35,0.020350054
36,0.016579412
37,0.015488177
38,0.017212937
39,0.024073714
40,0.029570332
41,0.023368709
42,0.014779352
43,0.01022162
44,0.0070097386
45,0.005579783
46,0.0055820635
47,0.009540607
48,0.10312775
49,0.034641143
