,Loss
0,0.66420835
1,0.5529938
2,0.50338846
3,0.45944697
4,0.43130246
5,0.40465355
6,0.38351974
7,0.36351594
8,0.3482719
9,0.32999915
10,0.31863034
11,0.31050664
12,0.29742998
13,0.29127035
14,0.28344506
15,0.27807024
16,0.27360836
17,0.27107584
18,0.2655909
19,0.25964108
20,0.25504917
21,0.25675482
22,0.26265788
23,0.2700714
24,0.28875157
25,0.4360269
26,0.44985488
27,0.4140831
28,0.3923759
29,0.37950048
30,0.37623778
31,0.37094995
32,0.36927712
33,0.3541837
34,0.35127762
35,0.3506554
36,0.33871078
37,0.33390972
38,0.32820383
39,0.33266884
40,0.32999432
41,0.3308485
42,0.3283978
43,0.32520744
44,0.32011256
45,0.316755
46,0.3344104
47,0.36182952
48,0.35001433
49,0.34643796
