,Loss
0,0.3186523
1,0.09718269
2,0.055331387
3,0.035182524
4,0.023055306
5,0.016582232
6,0.013090571
7,0.0112345815
8,0.009622254
9,0.010319638
10,0.007384272
11,0.006068156
12,0.004414513
13,0.0042280173
14,0.033696502
15,0.022046812
16,0.0065133804
17,0.0034598121
18,0.002190027
19,0.0016435946
20,0.0012826953
21,0.0012220572
22,0.0029957243
23,0.04535971
24,0.010721908
25,0.0046218266
26,0.0027422865
27,0.0018234131
28,0.0014359939
29,0.0012287382
30,0.0011576827
31,0.0016117382
32,0.031793457
33,0.0136941755
34,0.004664016
35,0.0025844304
36,0.0016890762
37,0.0012533534
38,0.0010146658
39,0.0010160729
40,0.0010971178
41,0.013030588
42,0.021452228
43,0.0056119156
44,0.0026913155
45,0.0017705536
46,0.0012574255
47,0.0010048426
48,0.00086384773
49,0.00084876944
